Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Subject,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63780ad71b350664767b6369,6009606726f80266d809bf9a,AWAITING REVIEW,2022-11-18T22:44:45.766000Z,2022-11-18T23:00:46.792000Z,,2022-11-18T23:00:47.401634Z,962,CUJVCRTW,252,English,Undergraduate degree (BA/BSc/other),"Chemistry, Computer Science, Mathematics",23,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Unemployed (and job seeking)
63780b0a15fab4f07b8b31af,5d02ed8f7a3c0f0015cd3230,AWAITING REVIEW,2022-11-18T22:45:30.235000Z,2022-11-18T22:47:04.658000Z,,2022-11-18T22:47:05.055476Z,95,CUJVCRTW,568,"Spanish, English, German, Galician, Portuguese",Undergraduate degree (BA/BSc/other),"Computing (IT), Computer Science, Engineering, Mathematics",23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
63780b1af912548db34915c7,5f18a80367ef6b0bbc5f3720,RETURNED,2022-11-18T22:45:48.243000Z,2022-11-18T22:48:18.153000Z,,2022-11-18T22:48:18.475000Z,,CUJVCRTW,266,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63780b3ecf804c918844c06a,614b55e22ff3944a165736bb,AWAITING REVIEW,2022-11-18T22:46:36.314000Z,2022-11-18T22:52:00.114000Z,,2022-11-18T22:52:00.435252Z,324,CUJVCRTW,242,"Portuguese, English",Undergraduate degree (BA/BSc/other),Computing (IT),21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
63780b58d679a48acd44c05b,60e12640be1b69b66053d55b,AWAITING REVIEW,2022-11-18T22:46:48.741000Z,2022-11-18T23:06:24.183000Z,,2022-11-18T23:06:24.522185Z,1176,CUJVCRTW,130,"Portuguese, English",Undergraduate degree (BA/BSc/other),"Biology, Chemistry, Computing (IT), Genetics, Mathematics",20,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
63780b5d5d122ab67f230c4d,60252b168d445b2c7efd6c32,AWAITING REVIEW,2022-11-18T22:46:53.492000Z,2022-11-18T22:50:28.895000Z,,2022-11-18T22:50:29.302399Z,216,CUJVCRTW,241,"Spanish, Portuguese, French, English",Graduate degree (MA/MSc/MPhil/other),"Computer Science, Engineering, Computing (IT)",21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
63780b610d33327bb584c6f4,60d6820831fa8933c1087ab2,AWAITING REVIEW,2022-11-18T22:46:57.347000Z,2022-11-18T22:49:08.659000Z,,2022-11-18T22:49:08.994573Z,132,CUJVCRTW,108,"Portuguese, Spanish, English",Undergraduate degree (BA/BSc/other),"Politics, Computer Science",23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
63780b8aa2daf793787b6381,62e02378e435c43cd2fc5dd3,AWAITING REVIEW,2022-11-18T22:48:06.365000Z,2022-11-18T22:50:45.748000Z,,2022-11-18T22:50:46.168909Z,160,CUJVCRTW,102,"Bengali, English",Undergraduate degree (BA/BSc/other),Computer Science,27,Female,Asian,Bangladesh,Germany,Bangladesh,Bengali,Yes,Part-Time
63780b9ce6538c569fee4df7,5f034d2b2e1a9e51dac2d819,AWAITING REVIEW,2022-11-18T22:48:19.012000Z,2022-11-18T22:51:41.153000Z,,2022-11-18T22:51:41.530323Z,203,CUJVCRTW,196,"English, Portuguese, Spanish",Graduate degree (MA/MSc/MPhil/other),"Computer Science, Computing (IT)",22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
63780ba57bb9b7d996423b2c,605e9924e4020478378555d4,AWAITING REVIEW,2022-11-18T22:54:20.076000Z,2022-11-18T23:10:03.742000Z,,2022-11-18T23:10:04.053077Z,944,CUJVCRTW,23,"English, Polish",Graduate degree (MA/MSc/MPhil/other),Computer Science,26,Male,White,Poland,Poland,Poland,Polish,Yes,Due to start a new job within the next month
63780bc4d83fa8a58c7a922e,5fbec7b24a44350e8ce3cfd5,AWAITING REVIEW,2022-11-18T22:48:38.815000Z,2022-11-18T22:49:58.052000Z,,2022-11-18T22:49:58.426114Z,80,CUJVCRTW,31,"Portuguese, English",Undergraduate degree (BA/BSc/other),"Computer Science, Engineering",22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
63780be8c5b107a752491577,6340383af4238833a34cea4e,AWAITING REVIEW,2022-11-18T22:49:12.034000Z,2022-11-18T23:01:07.221000Z,,2022-11-18T23:01:07.671415Z,716,CUJVCRTW,25,"English, Turkish",Undergraduate degree (BA/BSc/other),Computer Science,23,Male,Other,Turkey,Germany,Turkey,English,Yes,Part-Time
63780c12f41a40b7a8a1cd37,5f63bfde15806b111703d6f9,AWAITING REVIEW,2022-11-18T22:50:05.508000Z,2022-11-18T23:04:48.474000Z,,2022-11-18T23:04:48.848410Z,883,CUJVCRTW,109,"Polish, English",Undergraduate degree (BA/BSc/other),"Finance, Business, English Language, Mathematics, Marketing",23,Male,White,Poland,Poland,Poland,Polish,Yes,Part-Time
63780c25b59ace400a491597,613b467faac4ebe6f11a8753,AWAITING REVIEW,2022-11-18T22:50:33.996000Z,2022-11-18T22:56:34.171000Z,,2022-11-18T22:56:35.442110Z,361,CUJVCRTW,50,English,Undergraduate degree (BA/BSc/other),"Business, Languages, Psychology, Mathematics",32,Female,Black,Zimbabwe,Finland,Zimbabwe,English,Yes,Part-Time
63780c2a0ec0439a5c423b63,6168890fda89db751e013fd1,AWAITING REVIEW,2022-11-18T22:50:35.044000Z,2022-11-18T22:54:11.509000Z,,2022-11-18T22:54:11.881744Z,217,CUJVCRTW,108,English,Undergraduate degree (BA/BSc/other),Computing (IT),23,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
63780c5f9efb210b517b632a,60bfcf2d08b0aa1910719e26,AWAITING REVIEW,2022-11-18T22:51:14.362000Z,2022-11-18T22:54:52.653000Z,,2022-11-18T22:54:53.064377Z,219,CUJVCRTW,155,"Greek, English",Undergraduate degree (BA/BSc/other),"Computer Science, Computing (IT)",23,Female,White,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking)
63780c7b2bd0a7597e0f5794,62b20662ca9e4e8378d8d7a3,RETURNED,2022-11-18T22:51:39.698000Z,2022-11-18T22:56:59.293000Z,,2022-11-18T22:56:59.915000Z,,CUJVCRTW,132,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63780c8d0a91f17630f70d7b,5ea95e2f2e7de903e2a9c78f,AWAITING REVIEW,2022-11-18T22:51:57.636000Z,2022-11-18T22:59:12.315000Z,,2022-11-18T22:59:12.688493Z,435,CUJVCRTW,191,"Portuguese, English",Graduate degree (MA/MSc/MPhil/other),"Engineering, Computer Science, Computing (IT)",24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
63780c9ad83fa8a58c7a9243,5cfaab352e080000016ec742,AWAITING REVIEW,2022-11-18T22:52:10.230000Z,2022-11-18T23:02:18.741000Z,,2022-11-18T23:02:19.186066Z,609,CUJVCRTW,473,"Spanish, English, Galician, Portuguese",Graduate degree (MA/MSc/MPhil/other),"Computing (IT), Counselling, Music, Economics",39,Male,Mixed,Spain,Spain,Spain,Spanish,Yes,Part-Time
63780cb5a8f0923f5566fa9a,5dee645209c10750958a0ed2,AWAITING REVIEW,2022-11-18T22:52:37.957000Z,2022-11-18T22:56:28.416000Z,,2022-11-18T22:56:32.864874Z,231,CUJVCRTW,618,"English, French, Spanish",Undergraduate degree (BA/BSc/other),"Accounting, Computing (IT), Finance, Business, Management",56,Female,Mixed,"Venezuela, Bolivarian Republic of",Spain,"Venezuela, Bolivarian Republic of",Spanish,Yes,Full-Time
63780cda9c9905be2c28be95,605ce24a1cb5e465d72db4bd,AWAITING REVIEW,2022-11-18T22:53:14.790000Z,2022-11-18T23:13:18.253000Z,,2022-11-18T23:13:18.639385Z,1204,CUJVCRTW,393,"English, Portuguese, Spanish",Undergraduate degree (BA/BSc/other),"Computing (IT), Computer Science",21,Female,White,United States,Portugal,United States,English,Yes,Part-Time
63780ceff55d8af0470024eb,5eee30178ad8d20a8354fbac,AWAITING REVIEW,2022-11-18T22:54:22.167000Z,2022-11-18T22:57:23.479000Z,,2022-11-18T22:57:24.624658Z,182,CUJVCRTW,193,"Afrikaans, English",Undergraduate degree (BA/BSc/other),Computer Science,29,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
63780d1bb0c3575824230c25,5f63c878ada299117839871b,AWAITING REVIEW,2022-11-18T22:54:19.889000Z,2022-11-18T23:01:53.700000Z,,2022-11-18T23:01:55.187370Z,454,CUJVCRTW,145,"English, Polish, German, Russian, Spanish",Graduate degree (MA/MSc/MPhil/other),"Accounting, Business, Computer Science",25,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
63780d498fcae94da38b3171,5e4a932344498f4e361fee0d,AWAITING REVIEW,2022-11-18T22:55:05.929000Z,2022-11-18T23:03:44.590000Z,,2022-11-18T23:03:45.006510Z,519,CUJVCRTW,385,"English, Portuguese",Undergraduate degree (BA/BSc/other),Computer Science,24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
63780d88ac13dc5f37604e79,5c74e714fc0a2500168face3,AWAITING REVIEW,2022-11-18T22:56:09.903000Z,2022-11-18T23:04:13.330000Z,,2022-11-18T23:04:13.710987Z,484,CUJVCRTW,996,English,Undergraduate degree (BA/BSc/other),Mathematics,22,Female,White,United States,United States,United States,English,No,Full-Time
63780d9865cb466319d17400,5c4d8a8734ee9300011d1dfa,AWAITING REVIEW,2022-11-18T22:56:29.861000Z,2022-11-18T23:02:57.583000Z,,2022-11-18T23:02:58.031741Z,388,CUJVCRTW,226,"Italian, English, Spanish",Graduate degree (MA/MSc/MPhil/other),"Computer Science, Engineering, Computing (IT)",25,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
63780d9c69eb2dc4d2d246f3,60bdecc23648063db2bb828a,AWAITING REVIEW,2022-11-18T22:56:28.445000Z,2022-11-18T23:00:03.279000Z,,2022-11-18T23:00:03.591986Z,215,CUJVCRTW,158,"Polish, English",Undergraduate degree (BA/BSc/other),Computing (IT),23,Male,White,Poland,Poland,Poland,Polish,Yes,Other
63780dea8fcae94da38b317b,5e7b6d4321b49404214a5bb7,AWAITING REVIEW,2022-11-18T22:57:46.088000Z,2022-11-18T22:59:40.693000Z,,2022-11-18T22:59:41.045233Z,115,CUJVCRTW,123,"Polish, English",Undergraduate degree (BA/BSc/other),"Computing (IT), Economics",23,Male,White,Poland,Poland,Poland,Polish,No,Due to start a new job within the next month
63780e55b40e722100c1e894,5edfcac90307422d8ca4e9be,AWAITING REVIEW,2022-11-18T22:59:33.079000Z,2022-11-18T23:05:56.284000Z,,2022-11-18T23:05:56.672109Z,384,CUJVCRTW,182,"Spanish, Portuguese, English",Undergraduate degree (BA/BSc/other),Computing (IT),25,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
63780e5abacf729678af60f2,5d0bcf217a581100161860ae,RETURNED,2022-11-18T22:59:44.433000Z,2022-11-18T23:04:14.500000Z,,2022-11-18T23:04:14.840000Z,,CUJVCRTW,373,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63780e7edeaa0837a7fdfcd6,60e9cb49e6ff7ecfa37ccc96,AWAITING REVIEW,2022-11-18T23:00:18.198000Z,2022-11-18T23:12:00.466000Z,,2022-11-18T23:12:01.565324Z,703,CUJVCRTW,76,"English, Portuguese",Undergraduate degree (BA/BSc/other),"Computing (IT), Management",24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
63780e81c4976f48a366faa4,5d2b020653a8240001152207,AWAITING REVIEW,2022-11-18T23:00:21.665000Z,2022-11-18T23:25:51.183000Z,,2022-11-18T23:25:51.576614Z,1530,CUJVCRTW,1277,English,Undergraduate degree (BA/BSc/other),Computing (IT),34,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
63780eaef04f7ca2dd9d4f89,607231689a84685649c6a83f,AWAITING REVIEW,2022-11-18T23:01:02.163000Z,2022-11-18T23:15:03.565000Z,,2022-11-18T23:15:03.918131Z,842,CUJVCRTW,49,"Portuguese, English",Undergraduate degree (BA/BSc/other),"Engineering, Computer Science, Computing (IT), Communication and/or Media",21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
63780ec78171e255fe423b4e,5d5575339025920017fd271f,RETURNED,2022-11-18T23:01:27.455000Z,2022-11-18T23:04:56.754000Z,,2022-11-18T23:04:57.059000Z,,CUJVCRTW,481,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63780ed4ded5e41ed7c82f30,60ef4432df04da6821fec20a,AWAITING REVIEW,2022-11-18T23:01:40.923000Z,2022-11-18T23:10:25.903000Z,,2022-11-18T23:10:26.209000Z,525,CUJVCRTW,205,"Polish, English",Graduate degree (MA/MSc/MPhil/other),Computing (IT),24,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
63780ee40f42e3de0766fa98,5ffcd1eacfbe9e161495d884,AWAITING REVIEW,2022-11-18T23:02:16.917000Z,2022-11-18T23:10:12.078000Z,,2022-11-18T23:10:12.426254Z,476,CUJVCRTW,961,English,Graduate degree (MA/MSc/MPhil/other),Mathematics,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
63780f3e3e0aef77f8ee4dc2,5f8b031f5f71b109548721bd,AWAITING REVIEW,2022-11-18T23:03:26.748000Z,2022-11-18T23:06:25.641000Z,,2022-11-18T23:06:26.002214Z,179,CUJVCRTW,277,"English, Portuguese",Undergraduate degree (BA/BSc/other),Computer Science,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
63780f456620c868bf9d4f93,6166f8f6612d8931aafbe931,AWAITING REVIEW,2022-11-18T23:03:33.964000Z,2022-11-18T23:15:40.886000Z,,2022-11-18T23:15:41.267389Z,727,CUJVCRTW,85,"Portuguese, English",Undergraduate degree (BA/BSc/other),Computer Science,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
63780f5181acdc1d070f57cd,60feca537ed1de34c8ddbbab,AWAITING REVIEW,2022-11-18T23:03:48.877000Z,2022-11-18T23:26:30.694000Z,,2022-11-18T23:26:31.214743Z,1362,CUJVCRTW,593,"Chinese, English, Uzbek, Mandarin",Graduate degree (MA/MSc/MPhil/other),"Science, Earth Sciences, Engineering, Mathematics",28,Female,Asian,China,United Kingdom,China,Uzbek,DATA_EXPIRED,Full-Time
63780f9020780aa3077b222f,5f86e77f8f4bdc05183960b1,AWAITING REVIEW,2022-11-18T23:04:51.288000Z,2022-11-18T23:15:11.166000Z,,2022-11-18T23:15:11.535495Z,620,CUJVCRTW,171,"Portuguese, Spanish, English",Undergraduate degree (BA/BSc/other),"Computer Science, Counselling, Engineering",22,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
63780fa146f169b8a744c043,609911e00dd4843e39cb88ac,AWAITING REVIEW,2022-11-18T23:05:09.446000Z,2022-11-18T23:07:16.128000Z,,2022-11-18T23:07:16.456827Z,127,CUJVCRTW,264,English,Undergraduate degree (BA/BSc/other),Computing (IT),26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63780fa9d9e389e1af7b21be,5e15aae07bf572b8f97a847d,AWAITING REVIEW,2022-11-18T23:05:13.917000Z,2022-11-18T23:14:25.112000Z,,2022-11-18T23:14:25.517748Z,552,CUJVCRTW,409,"English, French",Graduate degree (MA/MSc/MPhil/other),Computer Science,28,Male,Other,France,France,France,French,Yes,Part-Time
63780fca8adca3925bc82ee4,5fccd9c384c8d40de20f78b8,RETURNED,2022-11-18T23:06:23.020000Z,2022-11-18T23:11:23.324000Z,,2022-11-18T23:11:23.622000Z,,CUJVCRTW,48,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6378103e2bd0a7597e0f57da,5c2d3ba4731cd10001b647d7,AWAITING REVIEW,2022-11-18T23:07:42.463000Z,2022-11-18T23:09:29.234000Z,,2022-11-18T23:09:29.607682Z,107,CUJVCRTW,1353,"Chinese, English",Undergraduate degree (BA/BSc/other),"Computing (IT), Business, Computer Science, Management, Marketing",39,Male,Asian,Canada,Canada,Canada,English,No,Full-Time
6378104690a9b09d2dd24720,5ed52e918cdc6708e5da5b2d,AWAITING REVIEW,2022-11-18T23:07:54.206000Z,2022-11-18T23:10:41.875000Z,,2022-11-18T23:10:42.207368Z,168,CUJVCRTW,318,"English, Portuguese",Undergraduate degree (BA/BSc/other),Computing (IT),24,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
6378105dec26dcc35872e68f,63659992ba948112342d05fd,AWAITING REVIEW,2022-11-18T23:08:13.398000Z,2022-11-18T23:16:11.040000Z,,2022-11-18T23:16:11.431989Z,478,CUJVCRTW,31,"Chinese, Mandarin, English",Undergraduate degree (BA/BSc/other),"Business, Computer Science",27,Male,Asian,China,United Kingdom,China,Mandarin,Yes,Part-Time
6378106ce86c32084b491553,5d45d2c3b30ae50001578172,AWAITING REVIEW,2022-11-18T23:08:38.320000Z,2022-11-18T23:11:56.585000Z,,2022-11-18T23:11:56.892170Z,199,CUJVCRTW,848,English,Undergraduate degree (BA/BSc/other),Computing (IT),42,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
637810c63e58dac328457b75,60282b06b16a45138fc78c77,AWAITING REVIEW,2022-11-18T23:10:03.493000Z,2022-11-18T23:12:50.185000Z,,2022-11-18T23:12:50.528161Z,167,CUJVCRTW,220,"English, Portuguese, Spanish, French, German, Italian",Graduate degree (MA/MSc/MPhil/other),"Engineering, Mathematics, Physics, Management, Finance",26,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
63781131318aef78630f57af,6123ea6c873f4f6d73a74029,AWAITING REVIEW,2022-11-18T23:11:54.339000Z,2022-11-18T23:15:47.780000Z,,2022-11-18T23:15:48.119330Z,234,CUJVCRTW,93,"Afrikaans, English",Undergraduate degree (BA/BSc/other),"Psychology, Sociology, Finance, Computer Science, Biology",29,Female,Other,South Africa,South Africa,South Africa,English,No,Full-Time
637811c2dd5713d24066fa66,6144742e57a61e489cc9e978,AWAITING REVIEW,2022-11-18T23:14:10.647000Z,2022-11-18T23:25:05.954000Z,,2022-11-18T23:25:06.454950Z,656,CUJVCRTW,183,English,Undergraduate degree (BA/BSc/other),Computing (IT),24,Male,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
6378124559713a19edd17400,61390b0f0c521df31c9e5fe4,AWAITING REVIEW,2022-11-18T23:18:18.819000Z,2022-11-18T23:23:54.989000Z,,2022-11-18T23:23:55.378739Z,337,CUJVCRTW,182,English,Graduate degree (MA/MSc/MPhil/other),"Computing (IT), Computer Science",33,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
63781259e4a318a439dc3dab,60a3cb60b3e2bdb82a865197,AWAITING REVIEW,2022-11-18T23:16:41.802000Z,2022-11-18T23:20:48.588000Z,,2022-11-18T23:20:48.921974Z,247,CUJVCRTW,182,English,Undergraduate degree (BA/BSc/other),Computing (IT),33,Female,Black,Zimbabwe,South Africa,South Africa,English,Yes,Full-Time
6378126e8d0a1884e47a924b,5f0d9292ab8b8f0008f195dd,AWAITING REVIEW,2022-11-18T23:17:04.958000Z,2022-11-18T23:27:39.176000Z,,2022-11-18T23:27:39.590942Z,635,CUJVCRTW,575,"German, English",Graduate degree (MA/MSc/MPhil/other),Computer Science,30,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,Part-Time
6378141bec26dcc35872e6da,6092e666d6eecc26f1d89b87,AWAITING REVIEW,2022-11-18T23:24:11.873000Z,2022-11-18T23:29:48.007000Z,,2022-11-18T23:29:48.328695Z,337,CUJVCRTW,128,"English, Turkish, Swedish",Undergraduate degree (BA/BSc/other),"Computer Science, Computing (IT)",27,Female,White,Turkey,Sweden,Turkey,Turkish,Yes,Full-Time
637814d73f0b4bf93177d0cb,60ff16c186d2024641575b61,AWAITING REVIEW,2022-11-18T23:27:19.953000Z,2022-11-18T23:50:25.299000Z,,2022-11-18T23:50:25.852655Z,1386,CUJVCRTW,488,"English, German, Hindi, Telugu",Undergraduate degree (BA/BSc/other),Computing (IT),29,Male,Asian,India,Germany,India,English,Yes,Part-Time
6378158a5fec01a749423b36,6154b3a7e4bc93e1ce93c6bc,AWAITING REVIEW,2022-11-18T23:32:52.009000Z,2022-11-18T23:48:09.647000Z,,2022-11-18T23:48:10.024079Z,918,CUJVCRTW,187,"English, Spanish",Undergraduate degree (BA/BSc/other),Computing (IT),20,Male,Other,Mexico,Mexico,Mexico,Spanish,Yes,Full-Time
